lat,lon,ele,time,bbox
34.046639,-118.268651,81.24495118949562,2024-04-18 22:18:48,"[-118.99230184764427, 33.322988152355734, -117.54500015235574, 34.770289847644264]"
34.046710,-118.268533,80.78337726928294,2024-04-18 22:18:49,"[-118.99218384764427, 33.32305915235574, -117.54488215235573, 34.77036084764426]"
34.046776,-118.268424,81.51595166977495,2024-04-18 22:18:50,"[-118.99207484764428, 33.323125152355736, -117.54477315235573, 34.770426847644266]"
34.046849,-118.268304,81.39359536021948,2024-04-18 22:18:51,"[-118.99195484764428, 33.32319815235574, -117.54465315235574, 34.77049984764427]"
34.046922,-118.268183,81.30383180826902,2024-04-18 22:18:52,"[-118.99183384764426, 33.323271152355744, -117.54453215235571, 34.77057284764427]"
34.046991,-118.268070,81.58994550909847,2024-04-18 22:18:53,"[-118.99172084764427, 33.32334015235573, -117.54441915235573, 34.770641847644264]"
34.047135,-118.267536,77.54377368930727,2024-04-18 22:18:54,"[-118.99118684764427, 33.32348415235573, -117.54388515235573, 34.77078584764426]"
34.047187,-118.267386,77.5754509344697,2024-04-18 22:18:55,"[-118.99103684764427, 33.323536152355736, -117.54373515235572, 34.770837847644266]"
34.047253,-118.267257,77.59986515063792,2024-04-18 22:18:56,"[-118.99090784764427, 33.32360215235573, -117.54360615235572, 34.77090384764426]"
34.047403,-118.267091,77.65522406250238,2024-04-18 22:18:57,"[-118.99074184764427, 33.32375215235574, -117.54344015235573, 34.77105384764427]"
34.047481,-118.266954,77.67609966453165,2024-04-18 22:18:58,"[-118.99060484764426, 33.32383015235573, -117.54330315235572, 34.77113184764426]"
34.047555,-118.266823,77.6969736898318,2024-04-18 22:18:59,"[-118.99047384764428, 33.32390415235574, -117.54317215235574, 34.77120584764427]"
34.048016,-118.266728,82.88093476183712,2024-04-18 22:19:00,"[-118.99037884764428, 33.32436515235573, -117.54307715235574, 34.77166684764426]"
34.047784,-118.266618,83.22516317758709,2024-04-18 22:19:01,"[-118.99026884764427, 33.32413315235574, -117.54296715235574, 34.771434847644265]"
34.047833,-118.266511,82.44785667490214,2024-04-18 22:19:02,"[-118.99016184764426, 33.32418215235574, -117.54286015235571, 34.77148384764426]"
34.047898,-118.266396,81.758898450993,2024-04-18 22:19:03,"[-118.99004684764427, 33.32424715235574, -117.54274515235572, 34.77154884764427]"
34.047956,-118.266311,81.13734693545848,2024-04-18 22:19:04,"[-118.98996184764428, 33.324305152355734, -117.54266015235575, 34.771606847644264]"
34.048055,-118.266144,80.2331830309704,2024-04-18 22:19:06,"[-118.98979484764426, 33.32440415235573, -117.54249315235572, 34.77170584764426]"
34.048111,-118.266037,80.68803896475583,2024-04-18 22:19:07,"[-118.98968784764428, 33.324460152355734, -117.54238615235573, 34.771761847644264]"
34.048208,-118.265891,82.29132429882884,2024-04-18 22:19:09,"[-118.98954184764428, 33.32455715235574, -117.54224015235573, 34.77185884764427]"
34.048286,-118.265785,83.3627266632393,2024-04-18 22:19:11,"[-118.98943584764427, 33.32463515235573, -117.54213415235573, 34.77193684764426]"
34.048344,-118.265684,83.5542239015922,2024-04-18 22:19:13,"[-118.98933484764427, 33.324693152355735, -117.54203315235573, 34.771994847644265]"
34.048424,-118.265565,83.81292502582073,2024-04-18 22:19:16,"[-118.98921584764426, 33.32477315235573, -117.54191415235572, 34.77207484764426]"
34.048478,-118.265462,84.63724289648235,2024-04-18 22:19:19,"[-118.98911284764426, 33.324827152355745, -117.54181115235572, 34.77212884764427]"
34.048542,-118.265345,87.0757864722982,2024-04-18 22:19:23,"[-118.98899584764426, 33.32489115235573, -117.54169415235572, 34.77219284764426]"
34.048611,-118.265231,87.86983724031597,2024-04-18 22:19:26,"[-118.98888184764427, 33.32496015235574, -117.54158015235572, 34.772261847644266]"
34.048664,-118.265124,87.84193230979145,2024-04-18 22:19:28,"[-118.98877484764428, 33.32501315235574, -117.54147315235574, 34.77231484764427]"
